track_path,split0,split1,split2,split3,split4
Mega_Pack_GM/Fusion GM/Funk/100 Funk Feel Breaks 02.mid,valid,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD F3.mid,train,test,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/130 Funk 09 A.mid,test,valid,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 02.mid,train,train,train,test,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 F3.mid,valid,train,valid,train,train
Mega_Pack_GM/Fusion GM/Funk/094 Funk Breaks 03.mid,train,train,train,train,test
Mega_Pack_GM/Funk HH RB GM/Funk/132 Funk 12 A.mid,train,train,test,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/112 Funk 15 D.mid,test,train,valid,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/113 Funk 08 A.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Bonus/122 Funky Samba 02.mid,train,test,train,valid,test
Mega_Pack_GM/Funk HH RB GM/Funk/116 Funk 18 D.mid,train,train,train,train,test
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 F6.mid,valid,train,train,test,train
Mega_Pack_GM/Funk HH RB GM/Funk/130 Funk 10.mid,test,train,valid,train,train
Mega_Pack_GM/Fusion GM/Preview Files/Funk/100 Funk Breaks.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 02.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 02 8-Bar.mid,train,train,train,train,test
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 F2.mid,train,train,train,train,train
Mega_Pack_GM/World Beats GM/4-4 Grooves/Afro-Cuban Funk/150 Afro-Cuban Funk 2.mid,valid,train,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/128 Funky 02a.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 01.mid,train,test,train,train,train
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 D.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Preview Files/Funk/116 Swingin Funk 02.mid,train,test,train,train,valid
Mega_Pack_GM/Jazz GM/Funky/120 Funky Jazz 03b.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD F5.mid,train,test,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD F4.mid,train,train,valid,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 A.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/096 Funk 14 B.mid,train,train,valid,train,train
Mega_Pack_GM/Jazz GM/Fusion/132 Funky 01.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 D.mid,train,train,train,train,test
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 A.mid,train,train,train,test,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 F4.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 03.mid,train,test,train,train,valid
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride 8-Bar.mid,valid,train,train,train,valid
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride.mid,train,train,train,valid,train
Mega_Pack_GM/Variety Pack GM/Funk/090 16th Funk 2.mid,train,valid,train,valid,train
Mega_Pack_GM/Funk HH RB GM/Funk/106 Funk 20 D.mid,train,train,train,test,train
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 04 A.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/100 Funk Feel Breaks 03.mid,train,test,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 F6.mid,train,valid,test,train,test
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 01b.mid,train,valid,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 C.mid,train,train,train,train,test
Mega_Pack_GM/Jazz GM/Fusion/128 Funky 02c.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/094 Funk Breaks 02.mid,train,test,valid,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 05 B.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 F6.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/120 Funk 16 D.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 D.mid,train,train,test,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 04a.mid,test,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 01c.mid,train,valid,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/072 Funk 17 B.mid,valid,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 04b.mid,train,train,train,test,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 B.mid,test,valid,test,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 03c.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 E.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/128 Funk 06 A.mid,train,train,train,train,test
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 03 A.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Bonus/150 Funky Mambo.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 05.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/102 Funk 11 A.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 D.mid,valid,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 01 8-Bar.mid,train,train,test,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/130 Funk 09 B.mid,train,train,train,test,train
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 F5.mid,train,train,train,train,valid
Mega_Pack_GM/Funk HH RB GM/Funk/112 Funk 15 B.mid,train,train,train,test,train
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 F5.mid,train,train,test,train,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 01a.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 F6.mid,train,test,train,train,train
Mega_Pack_GM/Variety Pack GM/Hip Hop/090 16th Funky 2.mid,valid,test,train,train,test
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 A.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 F2.mid,test,train,valid,train,train
Mega_Pack_GM/Fusion GM/Funk/094 Funk Breaks 01.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Bonus/103 Shuffle Funk C.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 02.mid,train,train,train,valid,train
Mega_Pack_GM/Funk HH RB GM/Funk/100 Funk 13 D.mid,train,train,test,train,train
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 F4.mid,test,train,train,train,train
Mega_Pack_GM/Variety Pack GM/Funk/093 Funk 8th Feel.mid,train,valid,test,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD.mid,train,test,valid,train,train
Mega_Pack_GM/Funk HH RB GM/Preview Files/Basic (Funk).mid,valid,test,train,train,train
Mega_Pack_GM/Variety Pack GM/Hip Hop/090 16th Funky 1.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 E.mid,train,train,train,train,valid
Mega_Pack_GM/Variety Pack GM/Funk/093 Funk 8th Feel Var.mid,train,valid,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 F5.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 F1.mid,train,valid,train,train,train
Mega_Pack_GM/Funk HH RB GM/Bonus/100 Funky Samba 01.mid,test,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 F2.mid,train,train,train,train,test
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD A.mid,valid,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD F6.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 A.mid,train,train,train,test,train
Mega_Pack_GM/Funk HH RB GM/Bonus/103 Shuffle Funk.mid,train,test,valid,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 D.mid,train,valid,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 B.mid,train,train,train,test,train
Mega_Pack_GM/Funk HH RB GM/Funk/125 Funk 19 B.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 F.mid,valid,train,test,test,train
Mega_Pack_GM/Fusion GM/Preview Files/Funk/140 Linear Funk.mid,valid,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride F2.mid,train,train,valid,valid,train
Mega_Pack_GM/Jazz GM/Fusion/132 Funky 01b.mid,train,train,train,valid,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 C.mid,train,train,train,test,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 B.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/120 Funk 16 C.mid,test,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride C.mid,train,train,test,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride F6.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Preview Files/Funk/085 N.O. Funk 01.mid,train,train,train,train,test
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 A.mid,test,test,valid,train,train
Mega_Pack_GM/Fusion GM/Preview Files/Funk/085 N.O. Funk 02.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 F2.mid,train,train,train,train,train
Mega_Pack_GM/Rock 2 GM/Song 04 4-4 074 BPM/Grooves/074 Bridge Funk.mid,train,train,train,test,valid
Mega_Pack_GM/World Beats GM/4-4 Grooves/Afro-Cuban Funk/150 Afro-Cuban Funk 1b.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/132 Funk 12 C.mid,train,valid,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/106 Funk 20 B.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 02c.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/132 Funk 12 B.mid,train,test,train,train,valid
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 C.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 B.mid,train,train,train,valid,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 01.mid,valid,test,train,test,train
Mega_Pack_GM/Jazz GM/Preview Files/Funky Jazz.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/096 Funk 14 D.mid,train,train,train,test,train
Mega_Pack_GM/Funk HH RB GM/Funk/112 Funk 01a.mid,train,train,train,train,test
Mega_Pack_GM/Funk HH RB GM/Funk/112 Funk 15.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride F1.mid,train,train,test,valid,valid
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 B.mid,train,train,train,valid,test
Mega_Pack_GM/Rock 2 GM/Song 06 4-4 088 BPM/Grooves/088 Verse Funky.mid,train,train,test,train,train
Mega_Pack_GM/Fusion GM/Funk/100 Funk Feel Breaks 04.mid,train,valid,test,train,train
Mega_Pack_GM/Variety Pack GM/Funk/093 Funk 8th Feel Crash.mid,test,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/089 Funk 07 B.mid,train,train,train,valid,test
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 03.mid,train,train,train,test,test
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 C.mid,train,train,train,valid,train
Mega_Pack_GM/Twisted GM/World Grooves/126 Samba Funk/126 Samba Funk Crash.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 F5.mid,train,valid,train,train,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 01b.mid,test,train,test,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/100 Funk 13 B.mid,valid,test,train,test,test
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride F5.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 04c.mid,train,valid,train,train,train
Mega_Pack_GM/Fusion GM/Preview Files/Funk/155 Fast Funk 01.mid,train,valid,test,train,train
Mega_Pack_GM/Variety Pack GM/R&B/090 Funky RnB.mid,valid,train,train,valid,valid
Mega_Pack_GM/Fusion GM/Preview Files/Funk/094 Funk Breaks.mid,train,train,train,train,test
Mega_Pack_GM/Funk HH RB GM/Bonus/103 Shuffle Funk A.mid,train,train,valid,valid,train
Mega_Pack_GM/Jazz GM/Fusion/128 Funky 02b.mid,train,train,train,train,valid
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 F2.mid,train,train,valid,test,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 04 8-Bar.mid,train,train,valid,test,train
Mega_Pack_GM/Funk HH RB GM/Funk/072 Funk 17.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride A.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 05 A.mid,test,train,valid,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/100 Funk 13 A.mid,train,valid,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02.mid,test,train,train,train,valid
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD B.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD 8-Bar.mid,test,valid,train,train,train
Mega_Pack_GM/Fusion GM/Funk/094 Funk Breaks 04.mid,test,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 02 A.mid,train,train,valid,train,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 F4.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 D.mid,train,train,train,test,train
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 F4.mid,test,train,train,train,valid
Mega_Pack_GM/World Beats GM/4-4 Grooves/Afro-Cuban Funk/150 Afro-Cuban Funk 1a.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 E.mid,test,train,valid,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 02c.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 F3.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 02b.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/113 Funk 08.mid,train,train,train,test,train
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 F3.mid,test,train,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/132 Funky 01a.mid,valid,valid,test,train,train
Mega_Pack_GM/Variety Pack GM/Funk/088 16th Funk.mid,train,train,valid,train,train
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 A.mid,train,train,test,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/106 Funk 20.mid,train,train,train,train,train
Mega_Pack_GM/Variety Pack GM/Funk/102 Funk 8th Feel 2 Crash.mid,train,train,test,valid,train
Mega_Pack_GM/Funk HH RB GM/Funk/072 Funk 17 D.mid,test,valid,train,train,valid
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 F3.mid,valid,test,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD F2.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 E.mid,train,train,train,valid,train
Mega_Pack_GM/Funk HH RB GM/Funk/102 Funk 11 B.mid,valid,train,test,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/125 Funk 19.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride B.mid,valid,train,test,train,test
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 F5.mid,valid,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/096 Funk 14 A.mid,valid,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/106 Funk 20 C.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 03b.mid,valid,train,valid,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 03a.mid,train,train,train,train,test
Mega_Pack_GM/Funk HH RB GM/Funk/116 Funk 18.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/130 Funk 09.mid,test,train,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/132 Funky 01c.mid,train,train,train,valid,train
Mega_Pack_GM/Funk HH RB GM/Funk/096 Funk 14.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 F1.mid,train,train,train,train,test
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD F1.mid,train,test,train,test,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 F5.mid,train,train,test,train,valid
Mega_Pack_GM/Twisted GM/World Grooves/110 Funka Nova/110 Funka Nova.mid,train,train,train,train,train
Mega_Pack_GM/Twisted GM/World Grooves/126 Samba Funk/126 Samba Funk.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 01a.mid,train,train,train,test,test
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 F6.mid,test,train,train,train,train
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01.mid,train,train,train,train,test
Mega_Pack_GM/Variety Pack GM/Funk/093 Funk 8th Feel Ride.mid,train,train,valid,train,valid
Mega_Pack_GM/Funk HH RB GM/Funk/072 Funk 17 A.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD D.mid,train,train,train,train,test
Mega_Pack_GM/Rock 2 GM/Song 06 4-4 088 BPM/Grooves/088 Chorus Funky.mid,train,train,train,test,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 A.mid,valid,train,train,valid,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 F5.mid,train,train,train,valid,train
Mega_Pack_GM/Rock 2 GM/Song 06 4-4 088 BPM/Grooves/088 Chorus Funky Crash.mid,test,train,train,train,train
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 F6.mid,train,train,train,train,test
Mega_Pack_GM/Funk HH RB GM/Funk/128 Funk 06.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/106 Funk 20 A.mid,train,train,valid,train,train
Mega_Pack_GM/Twisted GM/World Grooves/110 Funka Nova/110 Funka Nova Crash.mid,train,train,train,valid,train
Mega_Pack_GM/Variety Pack GM/Funk/102 Funk 8th Feel 2 Ride.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 D.mid,train,test,valid,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 03 B.mid,train,test,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 C.mid,train,test,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/116 Funk 18 C.mid,train,train,valid,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 E.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/120 Funk 16 A.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/132 Funk 12 D.mid,train,train,train,train,test
Mega_Pack_GM/Fusion GM/Preview Files/Latin/110 Funky Songo 01.mid,train,test,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Outro.mid,train,train,train,valid,train
Mega_Pack_GM/Jazz GM/Funky/120 Funky Jazz 03a.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/130 Funk 10 B.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/089 Funk 07.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Crash.mid,test,test,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 F1.mid,train,train,valid,train,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 C.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 F6.mid,train,train,train,train,valid
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 04.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride Crash.mid,train,train,valid,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride F3.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/100 Funk Feel Breaks 01.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/112 Funk 15 C.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 E.mid,valid,train,train,train,valid
Mega_Pack_GM/Jazz GM/Funky/120 Funky Jazz 03.mid,train,test,train,train,valid
Mega_Pack_GM/Funk HH RB GM/Funk/130 Funk 10 A.mid,valid,train,train,valid,train
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01.mid,train,train,train,valid,train
Mega_Pack_GM/Rock 2 GM/Song 06 4-4 088 BPM/Grooves/088 Verse Funky Crash.mid,train,test,train,train,train
Mega_Pack_GM/Funk HH RB GM/Preview Files/Funk.mid,valid,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 F1.mid,train,train,test,train,valid
Mega_Pack_GM/Fusion GM/Funk/155 Fast Funk 01 F1.mid,train,valid,train,train,train
Mega_Pack_GM/Variety Pack GM/R&B/090 Funky RnB Ride.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/128 Funky 02.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02.mid,train,train,train,train,train
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 02b.mid,train,train,test,valid,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 F2.mid,train,train,train,train,valid
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 F1.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Bonus/103 Shuffle Funk B.mid,train,train,test,train,valid
Mega_Pack_GM/Fusion GM/Preview Files/Funk/116 Swingin Funk 01.mid,test,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 E.mid,train,train,train,test,test
Mega_Pack_GM/Funk HH RB GM/Funk/100 Funk 13.mid,train,train,test,train,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 F2.mid,test,train,train,train,valid
Mega_Pack_GM/Funk HH RB GM/Funk/120 Funk 16.mid,train,train,valid,train,train
